Round,Year,President,Awardee,Project Name,Applicant Name,State,City,GrantAmount,Funding Request,Project Cost,Project Type,Density
TIGER I,2009,Obama,No,Alexander Street Extension project,"City of Plant City, Florida",Florida,Lutz,#N/A,"$35,000,000","$61,400,000",Road,N/A
TIGER I,2009,Obama,No,Alligator Point Road Construction,"Franklin County, Florida",Florida,Tallahassee,#N/A,"$2,352,426","$2,352,426",Road,N/A
TIGER I,2009,Obama,No,Arterial Roadway Intelligent Transportation System (ITS),"Pinellas County, Florida",Florida,Clearwater,#N/A,"$46,650,000","$60,650,000",Road,N/A
TIGER I,2009,Obama,No,Avalon Road (CR 545) Project,City of Winter Garden,Florida,Winter Garden,#N/A,"$11,300,000","$11,300,000",Road,N/A
TIGER I,2009,Obama,No,Bay County Florida Widening of County Road 390,Bay County Board of County Commissioners,Florida,Panama City,#N/A,"$41,760,366","$42,622,657",Road,N/A
TIGER I,2009,Obama,No,Bay Harbor Islands Broad Causeway Intracoastal Bridge,Town of Bay Harbor Islands,Florida,Miami,#N/A,"$6,255,000","$6,995,000",Transit,N/A
TIGER I,2009,Obama,No,"BIKE PATH LIGHTING FOR MIAMI SPRINGS, FLORIDA",City of Miami Beach,Florida,Miami,#N/A,"$1,678,555","$2,785,465",Other,N/A
TIGER I,2009,Obama,No,Bruce B. Downs Blvd Capacity Improvements From Pebble Creek Dr to Pasco County Line Rd,Hillsborough County,Florida,Tampa,#N/A,"$18,720,000","$26,920,000",Road,N/A
TIGER I,2009,Obama,No,Bulk Storage and Transfer Facility,Panama City Port Authority,Florida,Panama City,#N/A,"$5,000,000","$6,000,000",Maritime,N/A
TIGER I,2009,Obama,No,Burgess/Creighton Extension,"Escambia County, FL",Florida,Pensacola,#N/A,"$23,000,000","$26,000,000",Road,N/A
TIGER I,2009,Obama,No,Canaveral Deep Cargo Berth #5,Canaveral Port Authority,Florida,Cape Canaveral,#N/A,"$35,200,000","$44,000,000",Maritime,N/A
TIGER I,2009,Obama,No,Canaveral Multi-Use Berth and Intermodal Terminal,Canaveral Port Authority,Florida,Cape Canaveral,#N/A,"$18,880,000","$23,600,000",Maritime,N/A
TIGER I,2009,Obama,No,Canaveral North Cargo Pier 3&4 Bulkhead Wall Replacement,Canaveral Port Authority,Florida,Cape Canaveral,#N/A,"$38,000,000","$47,500,000",Maritime,N/A
TIGER I,2009,Obama,No,CENTRAL FLORIDA GREENEWAY (SR 417) AND BOGGY CREEK ROAD NEW SYSTEMS INTERCHANGE URBAN AREA HIGHWAY PROJECT,City of Orlando,Florida,Orlando,#N/A,"$19,500,000","$117,365,000",Road,N/A
